"","doid","Term","Synonym","Secondary"
"11088","DOID:0080418","developmental and epileptic encephalopathy 54","""early infantile epileptic encephalopathy 54"" EXACT []","NA"
"11093","DOID:0080419","developmental and epileptic encephalopathy 50","""early infantile epileptic encephalopathy 50"" EXACT []","NA"
"11102","DOID:0080420","developmental and epileptic encephalopathy 62","""early infantile epileptic encephalopathy 62"" EXACT []","NA"
"11107","DOID:0080421","developmental and epileptic encephalopathy 11","""early infantile epileptic encephalopathy 11"" EXACT []","NA"
"11112","DOID:0080422","Dravet syndrome","""severe myoclonic epilepsy of infancy"" EXACT []","DOID:0060171"
"11120","DOID:0080423","obsolete early infantile epileptic encephalopathy 39","NA","NA"
"11123","DOID:0080424","developmental and epileptic encephalopathy 44","""early infantile epileptic encephalopathy 44"" EXACT []","NA"
"11128","DOID:0080425","developmental and epileptic encephalopathy 47","""early infantile epileptic encephalopathy 47"" EXACT []","NA"
"11133","DOID:0080426","developmental and epileptic encephalopathy 63","""early infantile epileptic encephalopathy 63"" EXACT []","NA"
"11138","DOID:0080427","developmental and epileptic encephalopathy 40","""early infantile epileptic encephalopathy 40"" EXACT []","NA"
"11143","DOID:0080428","developmental and epileptic encephalopathy 45","""early infantile epileptic encephalopathy 45"" EXACT []","NA"
"11148","DOID:0080429","developmental and epileptic encephalopathy 24","""early infantile epileptic encephalopathy 24"" EXACT []","NA"
"11153","DOID:0080430","developmental and epileptic encephalopathy 65","""early infantile epileptic encephalopathy 65"" EXACT []","NA"
"11158","DOID:0080431","developmental and epileptic encephalopathy 19","""early infantile epileptic encephalopathy 19"" EXACT []","NA"
"11163","DOID:0080432","developmental and epileptic encephalopathy 60","""early infantile epileptic encephalopathy 60"" EXACT []","NA"
"11168","DOID:0080433","developmental and epileptic encephalopathy 51","""early infantile epileptic encephalopathy 51"" EXACT []","NA"
"11173","DOID:0080434","developmental and epileptic encephalopathy 61","""early infantile epileptic encephalopathy 61"" EXACT []","NA"
"11178","DOID:0080435","developmental and epileptic encephalopathy 37","""early infantile epileptic encephalopathy 37"" EXACT []","NA"
"11183","DOID:0080436","developmental and epileptic encephalopathy 4","""early infantile epileptic encephalopathy 4"" EXACT []","NA"
"11188","DOID:0080437","developmental and epileptic encephalopathy 31","""early infantile epileptic encephalopathy 31"" EXACT []","NA"
"11193","DOID:0080438","developmental and epileptic encephalopathy 5","""early infantile epileptic encephalopathy 5"" EXACT []","NA"
"11198","DOID:0080439","developmental and epileptic encephalopathy 14","""early infantile epileptic encephalopathy 14"" EXACT []","NA"
"11203","DOID:0080440","developmental and epileptic encephalopathy 3","""early infantile epileptic encephalopathy 3"" EXACT []","NA"
"11207","DOID:0080441","developmental and epileptic encephalopathy 49","""early infantile epileptic encephalopathy 49"" EXACT []","NA"
"11212","DOID:0080442","developmental and epileptic encephalopathy 41","""early infantile epileptic encephalopathy 41"" EXACT []","NA"
"11217","DOID:0080443","developmental and epileptic encephalopathy 21","""early infantile epileptic encephalopathy 21"" EXACT []","NA"
"11222","DOID:0080444","developmental and epileptic encephalopathy 27","""early infantile epileptic encephalopathy 27"" EXACT []","NA"
"11227","DOID:0080445","developmental and epileptic encephalopathy 13","""early infantile epileptic encephalopathy 13"" EXACT []","NA"
"11232","DOID:0080446","developmental and epileptic encephalopathy 66","""early infantile epileptic encephalopathy 66"" EXACT []","NA"
"11237","DOID:0080447","developmental and epileptic encephalopathy 43","""early infantile epileptic encephalopathy 43"" EXACT []","NA"
"11242","DOID:0080448","developmental and epileptic encephalopathy 48","""early infantile epileptic encephalopathy 48"" EXACT []","NA"
"11247","DOID:0080449","developmental and epileptic encephalopathy 16","""early infantile epileptic encephalopathy 16"" EXACT []","NA"
"11252","DOID:0080450","developmental and epileptic encephalopathy 17","""early infantile epileptic encephalopathy 17"" EXACT []","NA"
"11257","DOID:0080451","developmental and epileptic encephalopathy 29","""early infantile epileptic encephalopathy 29"" EXACT []","NA"
"11262","DOID:0080452","developmental and epileptic encephalopathy 28","""early infantile epileptic encephalopathy 28"" EXACT []","NA"
"11267","DOID:0080453","developmental and epileptic encephalopathy 25","""early infantile epileptic encephalopathy 25"" EXACT []","NA"
"11273","DOID:0080454","developmental and epileptic encephalopathy 42","""early infantile epileptic encephalopathy 42"" EXACT []","NA"
"11278","DOID:0080455","developmental and epileptic encephalopathy 52","""early infantile epileptic encephalopathy 52"" EXACT []","NA"
"11283","DOID:0080456","developmental and epileptic encephalopathy 46","""early infantile epileptic encephalopathy 46"" EXACT []","NA"
"11288","DOID:0080457","microcephaly, seizures, and developmental delay","""early infantile epileptic encephalopathy 10"" EXACT []","NA"
"11293","DOID:0080458","developmental and epileptic encephalopathy 35","""ITPA-related encephalopathy"" EXACT []","NA"
"11299","DOID:0080459","developmental and epileptic encephalopathy 12","""early infantile epileptic encephalopathy 12"" EXACT []","NA"
"11304","DOID:0080460","developmental and epileptic encephalopathy 34","""early infantile epileptic encephalopathy 34"" EXACT []","NA"
"11309","DOID:0080461","developmental and epileptic encephalopathy 26","""early infantile epileptic encephalopathy 26"" EXACT []","NA"
"11314","DOID:0080462","developmental and epileptic encephalopathy 7","""KCNQ2-related neonatal epileptic encephalopathy"" EXACT []","NA"
"11320","DOID:0080463","developmental and epileptic encephalopathy 33","""early infantile epileptic encephalopathy 33"" EXACT []","NA"
"11325","DOID:0080464","developmental and epileptic encephalopathy 53","""early infantile epileptic encephalopathy 53"" EXACT []","NA"
"11330","DOID:0080465","developmental and epileptic encephalopathy 30","""early infantile epileptic encephalopathy 30"" EXACT []","NA"
"11335","DOID:0080466","obsolete multiple congenital anomalies-hypotonia-seizures syndrome 2","NA","NA"
"11338","DOID:0080467","developmental and epileptic encephalopathy 2","""X-linked infantile spasm syndrome 2"" EXACT []","NA"
"11345","DOID:0080468","developmental and epileptic encephalopathy 1","""X-linked infantile spasm syndrome 1"" EXACT []","NA"
"11351","DOID:0080469","obsolete congenital disorder of glycosylation type 2m","NA","NA"
"11354","DOID:0080470","developmental and epileptic encephalopathy 36","""early infantile epileptic encephalopathy 36"" EXACT []","NA"
"11359","DOID:0080471","developmental and epileptic encephalopathy 92","NA","NA"
"11362","DOID:0080472","developmental and epileptic encephalopathy 91","""infantile or early childhood epileptic encephalopathy 1"" EXACT []","NA"
"11366","DOID:0080473","developmental delay and seizures with or without movement abnormalities","NA","NA"
"11369","DOID:0080474","pustular psoriasis 14","""deficiency of IL-36R antagonist"" EXACT []","NA"
"11374","DOID:0080475","psoriasis 2","NA","NA"
"11377","DOID:0080476","peroxisome biogenesis disorder 1A","""peroxisome biogenesis disorder 1A (Zellweger)"" EXACT []","NA"
"11381","DOID:0080477","peroxisome biogenesis disorder 2A","""peroxisome biogenesis disorder 2A (Zellweger)"" EXACT []","NA"
"11385","DOID:0080478","peroxisome biogenesis disorder 3A","""peroxisome biogenesis disorder 3A (Zellweger)"" EXACT []","NA"
"11389","DOID:0080479","peroxisome biogenesis disorder 4A","""peroxisome biogenesis disorder 4A (Zellweger)"" EXACT []","NA"
"11393","DOID:0080480","peroxisome biogenesis disorder 5A","""peroxisome biogenesis disorder 5A (Zellweger)"" EXACT []","NA"
"11397","DOID:0080481","peroxisome biogenesis disorder 6A","""peroxisome biogenesis disorder 6A (Zellweger)"" EXACT []","NA"
"11401","DOID:0080482","peroxisome biogenesis disorder 7A","""peroxisome biogenesis disorder 7A (Zellweger)"" EXACT []","NA"
"11405","DOID:0080483","peroxisome biogenesis disorder 8A","""peroxisome biogenesis disorder 8A (Zellweger)"" EXACT []","NA"
"11409","DOID:0080484","peroxisome biogenesis disorder 10A","""peroxisome biogenesis disorder 10A (Zellweger)"" EXACT []","NA"
"11413","DOID:0080485","peroxisome biogenesis disorder 11A","""peroxisome biogenesis disorder 11A (Zellweger)"" EXACT []","NA"
"11417","DOID:0080486","peroxisome biogenesis disorder 12A","""peroxisome biogenesis disorder 12A (Zellweger)"" EXACT []","NA"
"11421","DOID:0080487","peroxisome biogenesis disorder 13A","""peroxisome biogenesis disorder 13A (Zellweger)"" EXACT []","NA"
"11425","DOID:0080488","mucolipidosis","NA","NA"
"11428","DOID:0080489","GM1 gangliosidosis type 3","""adult-onset GM1 gangliosidosis"" EXACT []","NA"
"11432","DOID:0080490","mucolipidosis type IV","NA","NA"
"11435","DOID:0080491","cerebral cavernous malformation 1","NA","NA"
"11438","DOID:0080492","leukocyte adhesion deficiency 2","NA","NA"
"11441","DOID:0080493","ovarian dysgenesis 1","NA","NA"
"11444","DOID:0080494","ovarian dysgenesis 2","NA","NA"
"11447","DOID:0080495","ovarian dysgenesis 3","NA","NA"
"11450","DOID:0080496","ovarian dysgenesis 4","NA","NA"
"11453","DOID:0080497","ovarian dysgenesis 5","NA","NA"
"11456","DOID:0080498","ovarian dysgenesis 6","NA","NA"
"11459","DOID:0080499","ovarian dysgenesis 7","NA","NA"
"11462","DOID:0080500","ovarian dysgenesis 8","NA","NA"
"11465","DOID:0080501","GM1 gangliosidosis type 2","""juvenile GM1 gangliosidosis"" EXACT []","NA"
"11469","DOID:0080502","GM1 gangliosidosis type 1","NA","NA"
"11472","DOID:0080503","multiple congenital anomalies-hypotonia-seizures syndrome","NA","NA"
"11475","DOID:0080504","Parkinson's disease 22","""autosomal dominant Parkinson's disease 22"" EXACT []","NA"
"11479","DOID:0080505","Cornelia de Lange syndrome 1","NA","NA"
"11482","DOID:0080506","Cornelia de Lange syndrome 2","NA","NA"
"11485","DOID:0080507","Cornelia de Lange syndrome 3","""Cornelia De Lange syndrome 3 with or without midline brain defects"" EXACT []","NA"
"11490","DOID:0080508","Cornelia de Lange syndrome 4","""Cornelia De Lange syndrome 4 with or without midline brain defects"" EXACT []","NA"
"11495","DOID:0080509","Cornelia de Lange syndrome 5","NA","NA"
"11498","DOID:0080510","epidermolysis bullosa simplex localized type","""epidermolysis bullosa simplex Weber-Cockayne type"" EXACT []","NA"
"11502","DOID:0080511","epidermolysis bullosa simplex generalized type","""epidermolysis bullosa simplex Koebner type"" EXACT []","NA"
"11506","DOID:0080512","Meier-Gorlin syndrome 1","NA","NA"
"11509","DOID:0080513","Meier-Gorlin syndrome 2","NA","NA"
"11512","DOID:0080514","Meier-Gorlin syndrome 3","NA","NA"
"11515","DOID:0080515","Meier-Gorlin syndrome 4","NA","NA"
"11518","DOID:0080516","Meier-Gorlin syndrome 5","NA","NA"
"11521","DOID:0080517","Meier-Gorlin syndrome 6","NA","NA"
"11524","DOID:0080518","Meier-Gorlin syndrome 7","NA","NA"
"11527","DOID:0080519","PAPA syndrome","""pyogenic arthritis, pyoderma gangrenosum and acne"" EXACT []","NA"
"11531","DOID:0080520","Tn polyagglutination syndrome","""galactosyltransferase deficiency"" EXACT []","NA"
"11535","DOID:0080521","lung non-squamous non-small cell carcinoma","""non- squamous NSCLC"" EXACT []","NA"
"11539","DOID:0080522","thyroid gland anaplastic carcinoma","""anaplastic thyroid carcinoma"" EXACT []","NA"
"11543","DOID:0080523","adult-onset leukoencephalopathy with axonal spheroids and pigmented glia","""hereditary diffuse leukoencephalopathy with spheroids"" EXACT []","NA"
"11547","DOID:0080524","thyroid gland adenocarcinoma","NA","NA"
"11550","DOID:0080525","differentiated thyroid gland carcinoma","NA","NA"
"11553","DOID:0080526","bronchiectasis 1","NA","NA"
"11556","DOID:0080527","bronchiectasis 2","NA","NA"
"11559","DOID:0080528","bronchiectasis 3","NA","NA"
"11562","DOID:0080530","granular corneal dystrophy 1","""corneal dystrophy, Groenouw type I"" EXACT []","NA"
"11566","DOID:0080531","dedifferentiated liposarcoma","NA","NA"
"11569","DOID:0080532","Smarca4-deficient sarcoma of thorax","""SMARCA4-DTS"" EXACT []","NA"
"11573","DOID:0080533","Carney-Stratakis syndrome","NA","NA"
"11576","DOID:0080534","myxofibrosarcoma","""fibromyxoid sarcoma"" EXACT []","NA"
"11580","DOID:0080535","hypermanganesemia with dystonia","NA","NA"
"11583","DOID:0080536","hypermanganesemia with dystonia 1","NA","NA"
"11586","DOID:0080537","hypermanganesemia with dystonia 2","NA","NA"
"11589","DOID:0080538","Sweeney-Cox syndrome","NA","NA"
"11592","DOID:0080539","PEHO syndrome","NA","NA"
"11595","DOID:0080540","galactosialidosis","NA","NA"
"11598","DOID:0080541","hyperprolinemia","NA","NA"
"11601","DOID:0080542","hyperprolinemia type 1","""hyperprolinemia type I"" EXACT []","NA"
"11605","DOID:0080543","hyperprolinemia type 2","""hyperprolinemia type II"" EXACT []","NA"
"11609","DOID:0080544","hyper IgM syndrome","""immunodeficiency with hyper-IgM"" EXACT []","NA"
"11613","DOID:0080545","hyper IgE syndrome","""hyper immunoglobulin E syndrome"" EXACT []","NA"
"11617","DOID:0080546","non-alcoholic fatty liver","""NAFL"" EXACT []","NA"
"11621","DOID:0080547","non-alcoholic steatohepatitis","""NASH"" EXACT []","NA"
"11625","DOID:0080548","Noonan syndrome with multiple lentigines 1","""LEOPARD syndrome 1"" EXACT []","NA"
"11629","DOID:0080549","Noonan syndrome with multiple lentigines 2","""LEOPARD syndrome 2"" EXACT []","NA"
"11633","DOID:0080550","Noonan syndrome with multiple lentigines 3","""LEOPARD syndrome 3"" EXACT []","NA"
"11637","DOID:0080551","Naxos disease","NA","NA"
"11640","DOID:0080552","congenital disorder of glycosylation Ia","""PMM2-congenital disorder of glycosylation"" EXACT []","NA"
"11645","DOID:0080553","congenital disorder of glycosylation Iaa","""congenital disorder of glycosylation 1aa"" EXACT []","NA"
"11649","DOID:0080554","congenital disorder of glycosylation Ib","""congenital disorder of glycosylation 1b"" EXACT []","NA"
"11653","DOID:0080555","congenital disorder of glycosylation Ic","""congenital disorder of glycosylation 1c"" EXACT []","NA"
"11657","DOID:0080556","congenital disorder of glycosylation Id","""congenital disorder of glycosylation 1d"" EXACT []","NA"
"11661","DOID:0080557","congenital disorder of glycosylation Ie","""congenital disorder of glycosylation 1e"" EXACT []","NA"
"11665","DOID:0080558","congenital disorder of glycosylation If","""congenital disorder of glycosylation 1f"" EXACT []","NA"
"11669","DOID:0080559","congenital disorder of glycosylation Ig","""congenital disorder of glycosylation 1g"" EXACT []","NA"
"11674","DOID:0080560","congenital disorder of glycosylation Ih","""congenital disorder of glycosylation 1h"" EXACT []","NA"
"11678","DOID:0080561","congenital disorder of glycosylation Ii","""congenital disorder of glycosylation 1i"" EXACT []","NA"
"11682","DOID:0080562","congenital disorder of glycosylation Ij","""Congenital disorder of glycosylation 1j"" EXACT []","NA"
"11686","DOID:0080563","congenital disorder of glycosylation Ik","""congenital disorder of glycosylation 1k"" EXACT []","NA"
"11690","DOID:0080564","congenital disorder of glycosylation Il","""congenital disorder of glycosylation 1l"" EXACT []","NA"
"11694","DOID:0080565","congenital disorder of glycosylation Im","""DOLK-congenital disorder of glycosylation"" EXACT []","NA"
"11700","DOID:0080566","congenital disorder of glycosylation In","""congenital disorder of glycosylation 1n"" EXACT []","NA"
"11704","DOID:0080567","congenital disorder of glycosylation Ip","""congenital disorder of glycosylation 1p"" EXACT []","NA"
"11708","DOID:0080568","congenital disorder of glycosylation Iq","""congenital disorder of glycosylation 1q"" EXACT []","NA"
"11712","DOID:0080569","congenital disorder of glycosylation Ir","""congenital disorder of glycosylation 1r"" EXACT []","NA"
"11716","DOID:0080570","congenital disorder of glycosylation It","""congenital disorder of glycosylation 1t"" EXACT []","NA"
"11720","DOID:0080571","congenital disorder of glycosylation Iu","""congenital disorder of glycosylation 1u"" EXACT []","NA"
